"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"f:\A.matter\WebD\react\workflow-management\src\App.css", "CSS", 0, 3, 0, 0, 1, 4
"f:\A.matter\WebD\react\workflow-management\src\App.js", "JavaScript", 19, 0, 0, 3, 5, 27
"f:\A.matter\WebD\react\workflow-management\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"f:\A.matter\WebD\react\workflow-management\src\Data\DummyData.js", "JavaScript", 656, 0, 0, 1, 1, 658
"f:\A.matter\WebD\react\workflow-management\src\Test.js", "JavaScript", 14, 0, 0, 0, 3, 17
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\AdminRoute.js", "JavaScript", 70, 0, 0, 6, 3, 79
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\Home.js", "JavaScript", 69, 0, 0, 2, 6, 77
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\TasksHome.js", "JavaScript", 117, 0, 0, 1, 7, 125
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\UsersHomeDate.js", "JavaScript", 60, 0, 0, 0, 7, 67
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\VacationsHome.js", "JavaScript", 130, 0, 0, 1, 5, 136
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\home.css", "CSS", 0, 5, 0, 0, 0, 5
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\tasksHome.module.css", "CSS", 0, 96, 0, 0, 3, 99
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\usersHomeData.module.css", "CSS", 0, 106, 0, 0, 2, 108
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Home\vacationsHome.module.css", "CSS", 0, 107, 0, 0, 2, 109
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Ui_admin\Menu.js", "JavaScript", 55, 0, 0, 4, 4, 63
"f:\A.matter\WebD\react\workflow-management\src\components\Admin\Ui_admin\Nav.js", "JavaScript", 60, 0, 0, 4, 5, 69
